canonical_name,cpt_code,code_system,category,cost_tier,aliases
# ===========================================================================
# GENERAL ASSESSMENTS
# ===========================================================================
Informed Consent,,General,General,LOW,"informed consent,consent,icf,signed consent,written consent"
Medical History,,General,General,LOW,"medical history,history,med history,past medical history,pmh"
Demographics,,General,General,LOW,"demographics,demographic data,demographic assessment"
Eligibility Assessment,,General,General,LOW,"eligibility assessment,eligibility review,inclusion/exclusion,i/e criteria,eligibility,ie criteria"
Randomization,,General,General,LOW,"randomization,randomisation,treatment assignment,randomize,stratification"
Study Completion,,General,General,LOW,"study completion,study completion/early termination,end of study procedures"
Survival Follow-up,,General,General,LOW,"survival follow-up,survival status,long-term follow-up,ltfu"
# ===========================================================================
# VITAL SIGNS & PHYSICAL
# ===========================================================================
Vital Signs,99000,CPT,General,LOW,"vital signs,vitals,vs,vital sign assessment,vital sign measurement"
Physical Examination,99213,CPT,General,LOW,"physical exam,physical examination,pe,full physical,complete physical,targeted physical,targeted pe,symptom-directed pe,abbreviated physical"
Body Weight,,General,General,LOW,"body weight,weight,body mass,weight measurement"
Height,,General,General,LOW,"height,stature,body height"
Body Mass Index,,General,General,LOW,"bmi,body mass index"
Body Surface Area,,General,General,LOW,"bsa,body surface area,bsa calculation"
Waist Circumference,,General,General,LOW,"waist circumference,waist measurement,abdominal circumference"
# ===========================================================================
# CARDIAC / ECG
# ===========================================================================
"Electrocardiogram, 12-lead",93000,CPT,Cardiac,MEDIUM,"12-lead ecg,ecg (12l),ecg,12 lead ecg,electrocardiogram,ekg,12-lead electrocardiogram,standard ecg,resting ecg,single ecg"
"Electrocardiogram, triplicate",93000,CPT,Cardiac,MEDIUM,"triplicate ecg,ecg triplicate,3x ecg,ecg (triplicate),serial ecg"
Echocardiogram,93306,CPT,Cardiac,HIGH,"echocardiogram,echo,cardiac echo,transthoracic echo,tte,transthoracic echocardiogram,cardiac ultrasound"
Holter Monitor,93224,CPT,Cardiac,MEDIUM,"holter,holter monitor,24-hour ecg,ambulatory ecg,24h holter,48h holter,continuous ecg"
LVEF Assessment,93306,CPT,Cardiac,HIGH,"lvef,lvef assessment,ejection fraction,left ventricular ejection fraction,muga,muga scan"
Cardiac MRI,75561,CPT,Cardiac,VERY_HIGH,"cardiac mri,cmr,cardiac magnetic resonance"
# ===========================================================================
# LABORATORY — HEMATOLOGY
# ===========================================================================
Complete Blood Count,85025,CPT,Laboratory,LOW,"complete blood count,cbc,full blood count,fbc,blood count,cbc with differential,cbc w/diff"
Coagulation Panel,85610,CPT,Laboratory,LOW,"coagulation,coag panel,pt/inr,coagulation panel,pt,aptt,inr,prothrombin time,activated partial thromboplastin"
Reticulocyte Count,85044,CPT,Laboratory,LOW,"reticulocyte count,reticulocytes,retic count"
Blood Smear,85060,CPT,Laboratory,LOW,"blood smear,peripheral blood smear,peripheral smear,blood film"
ESR,85652,CPT,Laboratory,LOW,"esr,erythrocyte sedimentation rate,sed rate"
# ===========================================================================
# LABORATORY — CHEMISTRY
# ===========================================================================
Comprehensive Metabolic Panel,80053,CPT,Laboratory,LOW,"comprehensive metabolic panel,cmp,metabolic panel,chemistry panel,serum chemistry,blood chemistry"
Basic Metabolic Panel,80048,CPT,Laboratory,LOW,"basic metabolic panel,bmp"
Liver Function Tests,80076,CPT,Laboratory,LOW,"liver function tests,lft,lfts,hepatic panel,hepatic function,liver panel,alt,ast,alkaline phosphatase,bilirubin,liver enzymes"
Renal Function Tests,80069,CPT,Laboratory,LOW,"renal function,renal panel,kidney function,bun,creatinine,egfr,estimated gfr"
Electrolytes,80051,CPT,Laboratory,LOW,"electrolytes,serum electrolytes,lytes,sodium potassium chloride bicarbonate"
Lipid Panel,80061,CPT,Laboratory,LOW,"lipid panel,lipid profile,fasting lipids,cholesterol panel,ldl,hdl,triglycerides"
